Time,Clostridium-hiranonis,Clostridium-difficile,Proteus-mirabilis,Ruminococcus-obeum,Clostridium-ramosum,Bacteroides-ovatus,Akkermansia-muciniphila,Parabacteroides-distasonis,Bacteroides-fragilis,Bacteroides-vulgatus,Klebsiella-oxytoca,Roseburia-hominis,Escherichia-coli
0.75,0.7361067715565444,-1.9772914056116608,1.2702057069527837,-1.314164067821494,1.8308959987787943,3.1770886644637915,1.0913237242022786,-1.0999999634154785,2.2911378792041877,3.6441106424113983,3.698472551997374,-1.2477094129722772,2.261827973116134
1.0,0.7857992977389898,-1.894500990244257,1.3691620213035818,-0.8329903559740846,1.9731388078712033,3.354824183743008,1.8389519544033845,-0.9890040537839475,2.399095390445198,3.6220156462895376,3.7374956001678656,-1.3514285797890162,2.312979303867853
2.0,0.5536047587361654,-1.543673854735557,1.5215161339025949,0.5920417421576794,2.4653845153467064,3.934704500442267,3.9497375045377785,-0.051042481668331696,2.582985558796318,3.4838486534425552,3.4704795006220053,0.7233522032558417,2.227778087524171
3.0,0.13173476878091783,-1.372116183955014,1.545596296459915,0.9047558306243806,2.8518438457325272,4.355183628004024,4.3293553695578195,1.106743480696946,2.6943973166917012,3.2580929524191973,2.902030327640596,1.3773948517700063,2.070036160247028
4.0,-0.2142741436126352,-1.3113224366454084,1.5945523265581176,1.1955101927070446,3.0035974626759048,4.500278957888751,4.447258014277612,1.5868402955256746,2.93344489764489,2.88072582069149,2.3253335409755143,1.6708573940945648,2.024967517992886
6.0,-0.4979670602033419,-1.3156275291937165,1.6637123603024961,1.7109932455723067,2.922420320543637,4.521576564043509,4.434774334622047,1.6812155080158742,3.3004581525721393,2.3297409079710225,1.7477899391710765,1.717040529060072,2.040872020215592
8.0,-0.5549443038655388,-1.312455974301792,1.647388720271051,1.7867861283019852,2.8055147336005444,4.528934404528449,4.428425324603911,1.7321195335673583,3.391708555975769,2.1995021498047476,1.7033778972535907,1.7495317185694295,2.1504513471625444
10.0,-0.5422671547966376,-1.2777840830918619,1.6277046684282377,1.8918965461626547,2.7867641952373976,4.545603048251959,4.437423833096395,1.7818927269818485,3.495879053044836,2.219521648531599,1.7181415000349243,1.820086947749099,2.4249400736281537
14.0,-0.47957927657086863,-1.1969804695731208,1.5239833463285972,2.0096727172422164,2.826513056577192,4.594415293815874,4.485300591992957,1.8819807376722006,3.6855796833734544,2.3001382519688143,1.7907345549759235,1.9488388914333763,2.7333538702155464
17.0,-0.4652016863125441,-1.2543933639129285,1.2538744540559517,2.0623786074429313,2.8801272723398923,4.446273408730926,4.494776122235141,1.999711275194886,3.5272610605117665,2.44892836163106,1.818596637776022,2.0269212448346012,2.6156903555197926
21.0,-0.4510620565503922,-1.2524249792989472,1.2628176011761907,2.0628025336322016,2.953788905291639,4.455378377185746,4.549211036922083,2.1343206474972938,3.2260952558105704,2.6861257169894968,1.7838321096189356,2.0695649602181834,2.4519479041838284
24.0,-0.4669508061897387,-1.2207325695643725,1.3034521546926223,2.081382433542667,2.9875499771804286,4.50169015375423,4.573947165316027,2.1862275603416825,3.2024478972118233,2.829696965710408,1.8015371413670183,2.092074774228107,2.401137590967544
28.0,-0.5191175915338428,-1.2941851970534186,1.3435737253079116,1.91840723209063,2.711974929633533,4.312886385825878,4.5771033308238405,2.240574522382393,3.1631147406924502,2.93684055259299,1.713532275447145,2.0987957962748864,2.316908535356399
28.75,-0.6499073500554946,-1.167781935124558,1.320711194167293,1.6545387948820283,2.5960695166748917,4.112454845604155,4.543647572113619,2.106713091328399,3.2597487753804177,2.825798350959016,1.6390255953720811,1.9985816565370094,2.4073358326498644
29.0,-0.7389808485325782,-1.1113266186529316,1.2993540963952492,1.532971849157207,2.606798051435107,4.051626799697143,4.521006135215577,2.0013404402794386,3.334858412923854,2.751267359453651,1.6234077984332393,1.9299111812557093,2.483823810360497
30.0,-1.1232590508380111,-0.03188530763222097,1.0802053372233642,1.057549541957795,3.001445826071702,3.9372236263248928,4.324097627278891,1.145259166157703,3.8565509288803916,2.2331995435615135,1.630678270510979,1.4262119718057642,3.0164807919568917
31.0,-1.1279427674223728,1.8042574250836463,0.7868875184051349,1.1303303349420375,3.6385125468035087,4.0231312183356644,4.058221059285594,0.0793676636725218,4.4509298781361215,1.88129845800308,1.716462188672966,0.9743191829914108,3.610891937713622
32.0,-0.9563916351403954,2.6178013583300555,0.6325045227771247,1.4665135591653824,4.010435544579228,4.150963110043257,3.9390819917624436,-0.27128249537363835,4.759765648285613,2.1668091145052126,1.7758963601729318,1.0566836271809654,3.912694280143075
34.0,-0.862158570419516,2.539064654868671,0.6176575974103953,2.8083884686625487,3.9059820380281214,4.459181629356509,3.9437213229888965,0.5057821298233822,4.586385641253839,3.745545787408724,1.889329948294793,1.9705617483976763,3.7258033907024926
36.0,-1.1606670755281483,2.2117064385740455,0.5001455217924189,2.743275958567819,3.542330694650129,4.258482561015496,3.8681247226792426,0.7511475693060055,4.041576023115239,3.660259716011813,1.7666899995919212,1.885682153337267,2.9454152552879664
38.0,-1.2089319260670193,2.1242544783763186,0.8281199580946446,2.413386614579226,3.426996445005695,4.204593278744275,4.235578019821182,0.9870846348024385,3.749422440600034,3.6319231302727872,1.702960491699569,2.1098479381986497,2.2147583847098216
42.0,-1.2403555400177595,2.008850462021331,1.3266063825931296,2.305579666868705,3.3421428061306315,4.287276133096951,4.098225938295997,1.5563952523769284,3.7040153062068453,3.5322553622657815,1.6892462855581734,2.189349850591312,2.1055625680706784
45.0,-1.2114016708782263,1.9145881556408075,1.4512365853184308,2.2710164739438343,3.295617542156993,4.387528344315326,4.121933931545657,1.9784763327883628,3.705111571084467,3.474002751381378,1.7057843611575159,2.210330542918418,2.112189875405657
49.0,-0.9042203166519007,1.6149947410602383,1.3135027020363754,2.121729017147308,3.1304134723832058,4.585727822447806,5.0527109516533555,2.236462123695034,3.750321991315414,3.3072841175566503,1.8724200354012828,2.266049784731175,2.4398118055063978
52.0,-0.9094353144832477,1.4757744733393965,1.2697270044460538,2.223892730234897,3.1091191295060985,4.627836945937057,5.003145462229581,2.2546010419190585,3.792456997488639,3.290132566178419,1.851371158107682,2.322229165469624,2.4406275957690644
56.0,-0.8970173126369891,1.3897306663994824,1.2036012894299661,2.527974231556889,3.2924875465116337,4.691643532838727,4.910554247341508,2.3345664970147637,3.898461122503862,3.294173551548455,1.7979428938915305,2.3595239466766924,2.4104214197372813
