"Time","Catharus","Dendroica","Empidonax","other","Piranga","Seiurus","Setophaga","Vireo","Ovenbird","Red-eyed","Hermit"
1970,17,6,26,55,4,6,20,24,0,0,0
1971,18,13.5,28,25,6,6,35,31,0,0,0
1972,23,15,43,42,5,9,41,34,0,0,0
1973,20,17,49.5,43.5,8,9,36,30.5,0,0,0
1974,14,15,57,25,7,11,32,31,0,0,0
1975,9,17,26,36,3,10,32,28,0,0,0
1976,18,18,30,33.5,1.5,18,47,34.5,0,0,0
1977,14.5,13,28,34,1.5,18.5,50,34,0,0,0
1978,11,15,34,33,4,9,51,29.5,0,0,0
1979,10.5,11.5,22,22,3.5,13,40,26,0,0,0
1980,10,16.5,22,21,2,12,45,18,0,0,0
1981,6,10,15,25,4,10,44.5,16,0,0,0
1982,5,15.5,1,21,5,10,31,28,0,0,0
1983,5,19.5,0,17,6,11,40.5,25,0,0,0
1984,6,15.5,0,13,7,13.5,41,22,0,0,0
1986,2.5,0,0,12.6,2,0,34,0,16,22,2
1987,1.5,0,0,10.6,1.5,0,34.5,0,15.5,19.5,2
1988,1.5,0,6,16.6,2,0,39.7,0,21.5,22,4
1989,0.5,0,0,17.9,2.5,0,38,0,16,22.5,4
1990,2,0,0,28.5,1.5,0,53,0,20,24,5
1991,2.5,0,1.5,25.4,2.5,0,43.5,0,17.5,25.5,2
1992,6,0,1,27.6,4.5,0,55,0,15.5,15,5
1993,3.5,0,0,12.8,3.5,0,41.7,0,13.5,16.5,3
1994,4,0,0,17.9,3.5,0,28,0,9,18.5,3.5
1995,3,0,0,11.2,2,0,26,0,11,18,2
1996,3,0,0,16.4,2,0,35.5,0,12,19,5
1997,2.5,0,0,17.4,2,0,31.5,0,10.5,22,1
1998,2,0,0,10.2,2,0,29.5,0,9,17,3
1999,2.5,0,0,16.5,2,0,33,0,4,23.5,3
2000,0,0,0,14.1,1,0,35.5,0,7.5,28,3
2001,0.2,0,0,20.5,0.5,0,30.5,0,7,29,4.5
2002,0.2,0,0,11,1,0,30,0,7.5,19,3
2003,0,0,0,20.6,5,0,30.5,0,8,21,4.5
2004,0,0,0,17.6,4,0,23.5,0,8,21,3
2005,1,0,0,18.9,5.5,0,26,0,15.5,24.5,4.5
2006,0,0,0,29.1,4,0,31.5,0,15,22,6.5
2007,0,0,0,25.3,1.5,0,30.5,0,20,19,4.5
2008,0,0,0,19.4,3,0,25.5,0,21,19.5,4.5
2009,0,0,0,16.1,1.5,0,33.5,0,21.5,27,6.5
2010,0,0,0,26.2,4.5,0,32.2,0,17,23.5,5.5
2011,0,0,0,20.7,4,0,27.5,0,18,22,4
2012,0,0,0,24.7,5,0,32.5,0,12.5,24,7
2013,0,0,0,39.6,3.5,0,30.5,0,12,28,6.5
2014,0,0,0,29,4.5,0,31,0,12.5,31,6
2015,0,0,0,35.6,3,0,27,0,12.5,30,6.5
