"Time","American","Blue","Common","Eastern-wood","Great-crested","House","Indigo","Red-eyed","Red-headed","Starling","Tufted","other"
1927-01-01,1,1,3,3,4,1,17,9,1,0,2,18
1928-01-01,1,2,4,7,4,0,9,7,0,0,5,24
1934-01-01,2,0,5,3,5,3,22,8,4,8,5,23
1935-01-01,0,0,7,4,4,4,21,4,2,10,4,22
1936-01-01,12,0,7,7,5,8,20,4,3,25,6,17
1937-01-01,1,0,4,6,5,14,20,5,5,16,4,12
1939-01-01,0,0,2,6,0,0,0,0,1,0,3,6
1940-01-01,0,0,11,8,11,10,15,0,1,9,3,10
1941-01-01,4,0,3,10,7,20,25,13,0,16,2,14
1942-01-01,1,0,6,5,8,31,27,14,0,17,2,19
1943-01-01,3,1,12,8,7,40,27,10,1,22,3,23
1944-01-01,1,0,13,7,5,25,26,11,0,16,5,25
1945-01-01,0,0,15,6,7,25,22,9,0,20,3,12
1946-01-01,0,0,12,6,7,28,25,8,0,29,5,17
1947-01-01,0,0,10,6,7,32,20,8,0,21,5,13
1948-01-01,2,0,8,14,9,45,28,16,0,16,3,15
1949-01-01,2,1,7,8,9,62,25,16,1,22,4,24
1950-01-01,4,1,7,15,6,47,45,21,2,20,4,21
1951-01-01,4,0,8,17,2,32,33,21,0,13,3,17
1952-01-01,3,1,6,15,5,30,16,18,1,22,1,29
1953-01-01,3,2,6.5,19,3,31,18,13,1,39,1,31
1954-01-01,5,3,8.5,19,4,34,22,24,1,25,0.5,34.5
1955-01-01,3,3,8,14,5,53,24,23,1,13,2,42.5
1956-01-01,5,4,8,12,6,39,14,11,4,21,1,40
1957-01-01,6,6,11.5,20,6,50,18,11,6,25,1,36
1958-01-01,6,6,13.5,14,5,34,15,5,11,44,5,42.5
1959-01-01,9,10,14.5,12,5,43,21,12,14,70,5,71
1960-01-01,3,7,9.5,15,5,42,14,8,17,92,5,44
1961-01-01,6,7,15.5,11,5,38,16,4,13,85,1,41.5
1962-01-01,3.5,9,10.5,7,7,28,11,5,8,52,1,42
1963-01-01,5.5,12,13.5,15,8,22,17,5,25,57,2,36
1964-01-01,5,12,18.5,7,6,27,14,2,23,61,0,37
1965-01-01,6.5,12,13.5,8,5,26,14,5,29,66,1,28.5
1966-01-01,11.5,15,18.5,10,4,23,19,3,26,62,0,43
1967-01-01,6,12,11.5,9,5,14.5,17,3,13,44,0,31.5
1968-01-01,12.5,10,11.5,10,3,16.5,24,7,17,38,0,32.5
1969-01-01,10,8,13.5,9,3,13.5,10,4,13,62,0,43.5
1970-01-01,13.5,19,12.5,16,5,14,10,9,12,59,0,43.5
1971-01-01,9.5,15,7.5,7,6,5,10,4,10,47,0,41.5
1972-01-01,6,15,10.5,9,3,9.5,12,6,7,55,0,38.5
1973-01-01,7,10,9.5,5,3,8,7,4,10,18,0,36
1974-01-01,26,16,19.5,5,4,12.5,9,3,8,64,0,47.5
1975-01-01,3,14,9.5,5,2,10,7,6,2,61,0,36.5
1976-01-01,6.5,13,9.5,7,5,7,16,6,3,70,0,51.5
