"Time","American Goldfinch","American Robin","Blue jay","Common crow","Eastern-wood pewee","Great-crested flycatcher","House Wren","Indigo bunting","Red-eyed vireo","Red-headed woodpecker","Starling ","Tufted titmouse","other"
1927-01-01,0,1,1,2,3,4,1,17,9,1,0,2,19
1928-01-01,0,0,2,4,7,4,0,9,7,0,0,5,25
1934-01-01,2,0,0,2,3,5,3,22,8,4,8,5,26
1935-01-01,0,0,0,5,4,4,4,21,4,2,10,4,24
1936-01-01,10,2,0,4,7,5,8,20,4,3,25,6,20
1937-01-01,0,0,0,2,6,5,14,20,5,5,16,4,15
1939-01-01,0,0,0,1,6,0,0,0,0,1,0,3,7
1940-01-01,0,0,0,6,8,11,10,15,0,1,9,3,15
1941-01-01,4,0,0,2,10,7,20,25,13,0,16,2,15
1942-01-01,1,0,0,4,5,8,31,27,14,0,17,2,21
1943-01-01,3,0,1,9,8,7,40,27,10,1,22,3,26
1944-01-01,0,1,0,10,7,5,25,26,11,0,16,5,28
1945-01-01,0,0,0,11,6,7,25,22,9,0,20,3,16
1946-01-01,0,0,0,9,6,7,28,25,8,0,29,5,20
1947-01-01,0,0,0,9,6,7,32,20,8,0,21,5,14
1948-01-01,2,0,0,6,14,9,45,28,16,0,16,3,17
1949-01-01,1,1,1,5,8,9,61,25,16,1,22,4,27
1950-01-01,4,0,1,3,15,6,46,45,21,2,20,4,26
1951-01-01,3,1,0,4,17,2,31,33,21,0,13,3,22
1952-01-01,1,2,1,1,15,5,28,16,18,1,22,1,36
1953-01-01,2,1,2,0.5,19,3,30,18,13,1,39,1,38
1954-01-01,2,3,3,0.5,19,4,31,22,24,1,25,0.5,45.5
1955-01-01,2,1,3,1,14,5,51,24,23,1,13,2,51.5
1956-01-01,1,4,4,1,12,6,32,14,11,4,21,1,54
1957-01-01,1,4,6,0.5,20,6,45,18,11,6,25,1,53
1958-01-01,2,3,6,0.5,14,5,22,15,5,11,44,5,68.5
1959-01-01,0,9,10,0.5,12,5,28,21,12,14,70,5,100
1960-01-01,0,3,7,0.5,15,5,31,14,8,17,92,5,64
1961-01-01,0.5,5,7,0.5,11,5,27,16,4,13,85,1,68
1962-01-01,0.5,3,9,0.5,7,7,19,11,5,8,52,1,61
1963-01-01,0.5,5,12,0.5,15,8,20,17,5,25,57,2,51
1964-01-01,0,3,12,0.5,7,6,21,14,2,23,61,0,63
1965-01-01,0,6,12,0.5,8,5,25,14,5,29,66,1,43
1966-01-01,0.5,10,15,0.5,10,4,22,19,3,26,62,0,63
1967-01-01,0,5,12,0.5,9,5,14,17,3,13,44,0,44
1968-01-01,0,11,10,0.5,10,3,16,24,7,17,38,0,45.5
1969-01-01,1,8,8,0.5,9,3,13,10,4,13,62,0,58
1970-01-01,0.5,13,19,0.5,16,5,14,10,9,12,59,0,55.5
1971-01-01,0.5,9,15,0.5,7,6,5,10,4,10,47,0,48.5
1972-01-01,1,5,15,0.5,9,3,9,12,6,7,55,0,49
1973-01-01,0.5,6,10,0.5,5,3,8,7,4,10,18,0,45.5
1974-01-01,2,23,16,0.5,5,4,12,9,3,8,64,0,68
1975-01-01,1,2,14,0.5,5,2,10,7,6,2,61,0,45.5
1976-01-01,0.5,6,13,0.5,7,5,7,16,6,3,70,0,60.5
