"Time","Siphonoperla torrentium","Tinodes rostocki","Wormaldia occipitalis","Agapetus fuscipes","Amphinemura standfussi","Apatania fimbriata","Baetis rhodani","Baetis vernus","Chaetopteryx villosa","Leuctra digitata","Leuctra nigra","Leuctra prima","Nemoura cambrica","other","Protonemura auberti","Protonemura intricata"
1969,400.001,3799.001,2.001,5479.001,114.001,296.001,5463.001,2719.001,1605.001,242.001,2429.001,2.001,103.001,687.001,302.001,994.001
1970,927.001,5032.001,1.001,17681.001,161.001,692.001,1335.001,3957.001,818.001,1212.001,3073.001,14.001,340.001,619.001,270.001,2864.001
1971,705.001,4038.001,4.001,8885.001,280.001,141.001,1327.001,7504.001,281.001,1330.001,2730.001,116.001,162.001,1099.001,76.001,1284.001
1972,150.001,696.001,0.001,607.001,274.001,38.001,862.001,15055.001,8.001,396.001,2938.001,123.001,271.001,1105.001,25.001,53.001
1973,1270.001,1428.001,3.001,2331.001,147.001,167.001,561.001,1546.001,1060.001,777.001,7772.001,37.001,244.001,2374.001,426.001,3828.001
1974,182.001,1159.001,3.001,2151.001,9.001,113.001,705.001,11684.001,203.001,608.001,1040.001,92.001,182.001,1260.001,150.001,1172.001
1975,186.001,1495.001,2.001,426.001,105.001,60.001,414.001,9059.001,261.001,742.001,1992.001,94.001,107.001,1053.001,532.001,2134.001
1976,444.001,1374.001,0.001,809.001,42.001,82.001,492.001,2270.001,615.001,1570.001,2591.001,432.001,220.001,1416.001,292.001,2370.001
1977,284.001,256.001,6.001,1603.001,13.001,151.001,228.001,11171.001,504.001,1610.001,4581.001,660.001,273.001,1724.001,80.001,187.001
1978,51.001,323.001,7.001,1781.001,48.001,112.001,324.001,9338.001,813.001,421.001,862.001,138.001,94.001,717.001,205.001,289.001
1979,73.001,301.001,4.001,7961.001,335.001,138.001,2897.001,15335.001,1074.001,641.001,987.001,93.001,205.001,1047.001,296.001,943.001
1980,197.001,643.001,17.001,13802.001,152.001,714.001,5246.001,6772.001,758.001,792.001,1579.001,301.001,87.001,1309.001,966.001,1954.001
1981,118.001,656.001,6.001,1906.001,53.001,877.001,6018.001,4796.001,453.001,282.001,1146.001,1342.001,44.001,969.001,587.001,1410.001
1982,102.001,446.001,0.001,6916.001,19.001,947.001,3343.001,5140.001,261.001,300.001,236.001,566.001,75.001,1442.001,584.001,1127.001
1983,75.001,2268.001,2.001,4832.001,49.001,621.001,1560.001,392.001,267.001,645.001,435.001,184.001,37.001,691.001,207.001,1114.001
1984,93.001,1065.001,0.001,491.001,109.001,718.001,3297.001,419.001,821.001,184.001,809.001,365.001,77.001,888.001,305.001,253.001
1985,223.001,1210.001,1.001,4356.001,29.001,1258.001,4606.001,827.001,419.001,462.001,612.001,170.001,79.001,1287.001,238.001,496.001
1986,125.001,875.001,0.001,300.001,13.001,231.001,567.001,0.001,302.001,1265.001,930.001,393.001,150.001,594.001,199.001,186.001
1987,113.001,698.001,1.001,533.001,184.001,287.001,2193.001,228.001,188.001,470.001,943.001,414.001,2277.001,1787.001,377.001,1016.001
1988,844.001,1496.001,3.001,1165.001,314.001,374.001,2749.001,3078.001,102.001,407.001,958.001,364.001,483.001,2013.001,1277.001,4495.001
1989,244.001,1616.001,8.001,1405.001,37.001,281.001,1893.001,5894.001,67.001,556.001,396.001,1017.001,158.001,3032.001,310.001,2111.001
1990,804.001,1600.001,22.001,1801.001,647.001,266.001,698.001,2872.001,346.001,3905.001,2827.001,589.001,1167.001,3430.001,83.001,2153.001
1991,733.001,808.001,59.001,431.001,585.001,190.001,72.001,2335.001,168.001,3322.001,6499.001,892.001,755.001,6688.001,52.001,2182.001
1992,271.001,142.001,135.001,374.001,210.001,64.001,52.001,2210.001,149.001,1531.001,2390.001,370.001,371.001,2396.001,21.001,790.001
1993,2110.001,42.001,548.001,145.001,2359.001,55.001,62.001,3233.001,87.001,1480.001,8633.001,361.001,1624.001,3662.001,513.001,2428.001
1994,143.001,23.001,178.001,143.001,1075.001,27.001,228.001,7367.001,135.001,1702.001,1142.001,323.001,306.001,1583.001,1090.001,4103.001
1995,251.001,244.001,151.001,379.001,215.001,162.001,338.001,6037.001,240.001,1314.001,1183.001,178.001,107.001,1708.001,1117.001,3607.001
1996,766.001,179.001,553.001,368.001,63.001,87.001,16.001,1057.001,148.001,247.001,3255.001,443.001,88.001,1132.001,232.001,787.001
1997,158.001,0.001,1429.001,77.001,49.001,19.001,327.001,1908.001,201.001,324.001,1604.001,127.001,85.001,1705.001,683.001,456.001
1998,159.001,142.001,1494.001,19.001,15.001,3.001,3.001,1454.001,31.001,502.001,1931.001,558.001,79.001,1289.001,385.001,226.001
1999,117.001,241.001,296.001,41.001,31.001,5.001,355.001,3300.001,226.001,192.001,1446.001,454.001,24.001,1330.001,618.001,125.001
2000,156.001,782.001,620.001,199.001,110.001,7.001,224.001,950.001,91.001,447.001,815.001,223.001,77.001,1001.001,356.001,182.001
2001,42.001,1181.001,252.001,442.001,108.001,1.001,233.001,3243.001,99.001,601.001,481.001,442.001,36.001,1208.001,917.001,213.001
2002,98.001,1702.001,415.001,425.001,229.001,10.001,660.001,2378.001,94.001,609.001,503.001,281.001,90.001,877.001,611.001,617.001
2003,167.001,3173.001,50.001,423.001,95.001,16.001,110.001,3514.001,91.001,766.001,899.001,197.001,115.001,1113.001,95.001,1170.001
2004,114.001,660.001,270.001,158.001,18.001,0.001,38.001,1499.001,55.001,1203.001,951.001,401.001,27.001,869.001,86.001,790.001
2005,64.001,687.001,78.001,146.001,28.001,1.001,158.001,3727.001,218.001,1302.001,1403.001,258.001,241.001,1147.001,212.001,252.001
